Position,Alias,Stage 1,Stage 2,Total
1,Tobi,178,0,178
2,Das riesengroße Dings-Bums,176,0,176
3,Aardvark,174,0,174
4,Elcrack,174,0,174
5,Gol de Catamarancio,172,0,172
6,Mastodonte,166,0,166
7,Grogu (baby Yoda),166,0,166
8,Iara!,166,0,166
9,Caro,164,0,164
10,Bernd das Brot,160,0,160
11,El chileno,158,0,158
12,Patito goleador legendario,158,0,158
13,Papadopoulus,158,0,158
14,PabloL,158,0,158
15,Cage,156,0,156
16,Deppel,156,0,156
17,Tomi,154,0,154
18,Julo,152,0,152
19,Beebee,150,0,150
20,Clau,150,0,150
21,Federico-E,148,0,148
22,Flo,148,0,148
23,Juan,146,0,146
24,Iaia,146,0,146
25,Roberto der Alte,144,0,144
26,Sofita8,140,0,140
27,Manfred,140,0,140
28,Maestro Yoda,140,0,140
29,Connie,134,0,134
30,Micaela,134,0,134
31,Federico-A,134,0,134
32,Iliana,134,0,134
33,Rosi,132,0,132
34,Roberto der Breite,130,0,130
35,Rene Lavan,130,0,130
36,Ire,128,0,128
37,Juaju,126,0,126
38,Cute ARG,122,0,122
39,Chepa,122,0,122
40,Talocotío,120,0,120
41,Sean el Koala,118,0,118
42,Angelika,114,0,114
43,Chepa 2.0,112,0,112
44,Lastima Catamarancio,108,0,108
45,Matata Hakuna,106,0,106
46,Hakuna Matata,106,0,106
47,Loyal Sushi,106,0,106
48,Bittlein75,96,0,96
49,Macaco,90,0,90
50,Bittlein23,82,0,82
51,Carapotato,82,0,82
