Position,Alias,Stage 1,Stage 2,Total
1,Patito goleador legendario,184,129,313
2,Tobi,192,119,311
3,Elcrack,206,104,310
4,Aardvark,194,114,308
5,Das riesengroße Dings-Bums,182,116,298
6,Cage,174,119,293
7,PabloL,182,109,291
8,Mastodonte,180,109,289
9,Caro,192,94,286
10,Grogu (baby Yoda),186,99,285
11,Iara!,178,106,284
12,Gol de Catamarancio,192,89,281
13,Julo,176,104,280
14,Roberto der Alte,170,109,279
15,Bernd das Brot,188,85,273
16,Iaia,172,99,271
17,El chileno,174,96,270
18,Deppel,182,84,266
19,Beebee,170,94,264
20,Papadopoulus,172,89,261
21,Federico-E,162,99,261
22,Juan,164,94,258
23,Tomi,168,89,257
24,Clau,172,81,253
25,Rene Lavan,158,94,252
26,Flo,160,87,247
27,Roberto der Breite,150,97,247
28,Federico-A,146,99,245
29,Cute ARG,148,96,244
30,Juaju,152,86,238
31,Rosi,146,89,235
32,Micaela,150,84,234
33,Ire,140,92,232
34,Maestro Yoda,146,86,232
35,Sofita8,162,69,231
36,Angelika,136,94,230
37,Manfred,162,66,228
38,Lastima Catamarancio,128,99,227
39,Hakuna Matata,120,104,224
40,Connie,148,74,222
41,Iliana,148,74,222
42,Talocotío,140,79,219
43,Sean el Koala,130,86,216
44,Matata Hakuna,122,94,216
45,Chepa,140,72,212
46,Bittlein23,100,89,189
47,Bittlein75,108,74,182
48,Macaco,112,66,178
49,Loyal Sushi,128,48,176
50,Chepa 2.0,118,51,169
51,Carapotato,102,51,153
