Position,Alias,Stage 1,Stage 2,Total
1,PabloL,116,0,116
2,Deppel,116,0,116
3,Iara!,112,0,112
4,Das riesengroße Dings-Bums,112,0,112
5,Papadopoulus,108,0,108
6,Gol de Catamarancio,108,0,108
7,Tobi,106,0,106
8,Sofita8,106,0,106
9,Julo,106,0,106
10,Iaia,102,0,102
11,Grogu (baby Yoda),102,0,102
12,Aardvark,102,0,102
13,Tomi,100,0,100
14,El chileno,100,0,100
15,Iliana,96,0,96
16,Elcrack,96,0,96
17,Bernd das Brot,96,0,96
18,Manfred,94,0,94
19,Clau,92,0,92
20,Caro,92,0,92
21,Federico-E,90,0,90
22,Rosi,90,0,90
23,Mastodonte,90,0,90
24,Cage,90,0,90
25,Flo,88,0,88
26,Chepa,88,0,88
27,Roberto der Alte,88,0,88
28,Patito goleador legendario,86,0,86
29,Federico-A,86,0,86
30,Rene Lavan,86,0,86
31,Juan,86,0,86
32,Maestro Yoda,84,0,84
33,Micaela,82,0,82
34,Juaju,82,0,82
35,Beebee,82,0,82
36,Connie,80,0,80
37,Sean el Koala,78,0,78
38,Cute ARG,76,0,76
39,Roberto der Breite,76,0,76
40,Talocotío,76,0,76
41,Ire,74,0,74
42,Bittlein75,72,0,72
43,Hakuna Matata,72,0,72
44,Angelika,70,0,70
45,Lastima Catamarancio,70,0,70
46,Matata Hakuna,66,0,66
47,Chepa 2.0,64,0,64
48,Loyal Sushi,60,0,60
49,Bittlein23,60,0,60
50,Macaco,44,0,44
51,Carapotato,42,0,42
