Position,Alias,Stage 1,Stage 2,Total
1,Tobi,178,0,178
2,Das riesengroße Dings-Bums,160,0,160
3,Elcrack,160,0,160
4,Aardvark,158,0,158
5,Gol de Catamarancio,158,0,158
6,Bernd das Brot,154,0,154
7,Grogu (baby Yoda),154,0,154
8,Mastodonte,152,0,152
9,Caro,152,0,152
10,Iara!,148,0,148
11,Papadopoulus,142,0,142
12,PabloL,142,0,142
13,El chileno,142,0,142
14,Tomi,140,0,140
15,Federico-E,140,0,140
16,Deppel,140,0,140
17,Cage,138,0,138
18,Roberto der Alte,136,0,136
19,Julo,136,0,136
20,Iaia,134,0,134
21,Patito goleador legendario,132,0,132
22,Beebee,130,0,130
23,Sofita8,124,0,124
24,Flo,124,0,124
25,Manfred,122,0,122
26,Clau,122,0,122
27,Federico-A,120,0,120
28,Ire,118,0,118
29,Maestro Yoda,118,0,118
30,Juan,118,0,118
31,Iliana,118,0,118
32,Connie,118,0,118
33,Micaela,118,0,118
34,Chepa,116,0,116
35,Rene Lavan,114,0,114
36,Rosi,114,0,114
37,Roberto der Breite,114,0,114
38,Sean el Koala,112,0,112
39,Cute ARG,112,0,112
40,Juaju,108,0,108
41,Angelika,106,0,106
42,Talocotío,106,0,106
43,Chepa 2.0,104,0,104
44,Hakuna Matata,98,0,98
45,Loyal Sushi,98,0,98
46,Matata Hakuna,96,0,96
47,Lastima Catamarancio,92,0,92
48,Bittlein75,86,0,86
49,Bittlein23,82,0,82
50,Macaco,80,0,80
51,Carapotato,68,0,68
