Position,Alias,Stage 1,Stage 2,Total
1,Tobi,148,0,148
2,Gol de Catamarancio,138,0,138
3,Elcrack,138,0,138
4,Das riesengroße Dings-Bums,134,0,134
5,Grogu (baby Yoda),134,0,134
6,Bernd das Brot,132,0,132
7,Deppel,132,0,132
8,Aardvark,128,0,128
9,Caro,128,0,128
10,Papadopoulus,126,0,126
11,Mastodonte,126,0,126
12,Iara!,126,0,126
13,Tomi,122,0,122
14,PabloL,122,0,122
15,Roberto der Alte,120,0,120
16,Julo,118,0,118
17,El chileno,118,0,118
18,Federico-E,118,0,118
19,Iaia,116,0,116
20,Rosi,114,0,114
21,Sofita8,112,0,112
22,Flo,112,0,112
23,Cage,110,0,110
24,Maestro Yoda,110,0,110
25,Clau,108,0,108
26,Patito goleador legendario,106,0,106
27,Manfred,106,0,106
28,Ire,102,0,102
29,Juaju,102,0,102
30,Iliana,102,0,102
31,Beebee,102,0,102
32,Juan,100,0,100
33,Angelika,100,0,100
34,Rene Lavan,98,0,98
35,Connie,98,0,98
36,Federico-A,98,0,98
37,Chepa,96,0,96
38,Micaela,94,0,94
39,Roberto der Breite,94,0,94
40,Sean el Koala,92,0,92
41,Cute ARG,88,0,88
42,Hakuna Matata,88,0,88
43,Talocotío,88,0,88
44,Chepa 2.0,88,0,88
45,Lastima Catamarancio,84,0,84
46,Bittlein75,80,0,80
47,Matata Hakuna,78,0,78
48,Bittlein23,74,0,74
49,Macaco,70,0,70
50,Loyal Sushi,70,0,70
51,Carapotato,60,0,60
