Position,Alias,Stage 1,Stage 2,Total
1,Iara!,64,0,64
2,Clau,62,0,62
3,Chepa,58,0,58
4,Julo,56,0,56
5,Tobi,52,0,52
6,PabloL,52,0,52
7,Matata Hakuna,52,0,52
8,Gol de Catamarancio,52,0,52
9,Tomi,52,0,52
10,Iliana,50,0,50
11,Roberto der Alte,50,0,50
12,Lastima Catamarancio,50,0,50
13,Deppel,48,0,48
14,Papadopoulus,48,0,48
15,Federico-E,48,0,48
16,Juan,48,0,48
17,Sofita8,46,0,46
18,Cute ARG,46,0,46
19,Aardvark,44,0,44
20,Beebee,44,0,44
21,El chileno,44,0,44
22,Elcrack,44,0,44
23,Maestro Yoda,44,0,44
24,Loyal Sushi,42,0,42
25,Chepa 2.0,42,0,42
26,Bittlein75,42,0,42
27,Federico-A,42,0,42
28,Mastodonte,40,0,40
29,Connie,40,0,40
30,Iaia,40,0,40
31,Hakuna Matata,40,0,40
32,Grogu (baby Yoda),40,0,40
33,Rosi,40,0,40
34,Bernd das Brot,40,0,40
35,Angelika,38,0,38
36,Micaela,38,0,38
37,Flo,38,0,38
38,Manfred,36,0,36
39,Ire,36,0,36
40,Rene Lavan,36,0,36
41,Das riesengroße Dings-Bums,36,0,36
42,Cage,36,0,36
43,Talocotío,36,0,36
44,Caro,36,0,36
45,Roberto der Breite,34,0,34
46,Bittlein23,32,0,32
47,Patito goleador legendario,32,0,32
48,Juaju,32,0,32
49,Sean el Koala,30,0,30
50,Carapotato,20,0,20
51,Macaco,0,0,0
