Position,Alias,Stage 1,Stage 2,Total
1,Patito goleador legendario,184,139,323
2,Elcrack,206,114,320
3,Aardvark,194,124,318
4,Tobi,192,119,311
5,PabloL,182,119,301
6,Das riesengroße Dings-Bums,182,116,298
7,Caro,192,104,296
8,Grogu (baby Yoda),186,109,295
9,Iara!,178,116,294
10,Cage,174,119,293
11,Gol de Catamarancio,192,99,291
12,Julo,176,114,290
13,Roberto der Alte,170,119,289
14,Mastodonte,180,109,289
15,El chileno,174,106,280
16,Deppel,182,94,276
17,Beebee,170,104,274
18,Bernd das Brot,188,85,273
19,Iaia,172,99,271
20,Juan,164,104,268
21,Tomi,168,99,267
22,Rene Lavan,158,104,262
23,Federico-E,162,99,261
24,Papadopoulus,172,89,261
25,Flo,160,97,257
26,Roberto der Breite,150,107,257
27,Federico-A,146,109,255
28,Cute ARG,148,106,254
29,Clau,172,81,253
30,Rosi,146,99,245
31,Micaela,150,94,244
32,Ire,140,102,242
33,Sofita8,162,79,241
34,Juaju,152,86,238
35,Lastima Catamarancio,128,109,237
36,Hakuna Matata,120,114,234
37,Connie,148,84,232
38,Maestro Yoda,146,86,232
39,Angelika,136,94,230
40,Talocotío,140,89,229
41,Manfred,162,66,228
42,Matata Hakuna,122,104,226
43,Sean el Koala,130,96,226
44,Iliana,148,74,222
45,Chepa,140,72,212
46,Bittlein75,108,84,192
47,Bittlein23,100,89,189
48,Macaco,112,66,178
49,Loyal Sushi,128,48,176
50,Chepa 2.0,118,51,169
51,Carapotato,102,61,163
