Position,Alias,Stage 1,Stage 2,Total
1,Aardvark,194,134,328
2,Patito goleador legendario,184,139,323
3,Tobi,192,129,321
4,Elcrack,206,114,320
5,PabloL,182,129,311
6,Das riesengroße Dings-Bums,182,126,308
7,Iara!,178,126,304
8,Roberto der Alte,170,129,299
9,Mastodonte,180,119,299
10,Caro,192,104,296
11,Grogu (baby Yoda),186,109,295
12,Cage,174,119,293
13,Gol de Catamarancio,192,99,291
14,Julo,176,114,290
15,Bernd das Brot,188,95,283
16,El chileno,174,106,280
17,Tomi,168,109,277
18,Deppel,182,94,276
19,Beebee,170,104,274
20,Iaia,172,99,271
21,Juan,164,104,268
22,Rene Lavan,158,104,262
23,Federico-E,162,99,261
24,Papadopoulus,172,89,261
25,Flo,160,97,257
26,Roberto der Breite,150,107,257
27,Federico-A,146,109,255
28,Cute ARG,148,106,254
29,Clau,172,81,253
30,Juaju,152,96,248
31,Lastima Catamarancio,128,119,247
32,Rosi,146,99,245
33,Hakuna Matata,120,124,244
34,Micaela,150,94,244
35,Ire,140,102,242
36,Sofita8,162,79,241
37,Connie,148,84,232
38,Maestro Yoda,146,86,232
39,Angelika,136,94,230
40,Talocotío,140,89,229
41,Manfred,162,66,228
42,Matata Hakuna,122,104,226
43,Sean el Koala,130,96,226
44,Iliana,148,74,222
45,Chepa,140,72,212
46,Bittlein75,108,84,192
47,Bittlein23,100,89,189
48,Macaco,112,66,178
49,Loyal Sushi,128,48,176
50,Chepa 2.0,118,51,169
51,Carapotato,102,61,163
