Position,Alias,Stage 1,Stage 2,Total
1,Elcrack,188,0,188
2,Aardvark,186,0,186
3,Tobi,184,0,184
4,Gol de Catamarancio,184,0,184
5,Grogu (baby Yoda),178,0,178
6,Das riesengroße Dings-Bums,176,0,176
7,Caro,176,0,176
8,Bernd das Brot,174,0,174
9,Mastodonte,172,0,172
10,Iara!,172,0,172
11,Patito goleador legendario,170,0,170
12,PabloL,170,0,170
13,Julo,168,0,168
14,Deppel,168,0,168
15,Cage,164,0,164
16,Papadopoulus,164,0,164
17,El chileno,164,0,164
18,Juan,164,0,164
19,Beebee,162,0,162
20,Tomi,160,0,160
21,Iaia,158,0,158
22,Clau,156,0,156
23,Roberto der Alte,156,0,156
24,Flo,154,0,154
25,Federico-E,154,0,154
26,Sofita8,146,0,146
27,Maestro Yoda,146,0,146
28,Manfred,146,0,146
29,Roberto der Breite,142,0,142
30,Rene Lavan,142,0,142
31,Ire,140,0,140
32,Connie,140,0,140
33,Iliana,140,0,140
34,Micaela,140,0,140
35,Federico-A,140,0,140
36,Chepa,140,0,140
37,Juaju,138,0,138
38,Rosi,138,0,138
39,Cute ARG,134,0,134
40,Talocotío,126,0,126
41,Lastima Catamarancio,120,0,120
42,Angelika,120,0,120
43,Sean el Koala,118,0,118
44,Chepa 2.0,118,0,118
45,Loyal Sushi,114,0,114
46,Hakuna Matata,112,0,112
47,Matata Hakuna,112,0,112
48,Bittlein75,102,0,102
49,Macaco,102,0,102
50,Bittlein23,94,0,94
51,Carapotato,94,0,94
