Position,Alias,Stage 1,Stage 2,Total
1,Aardvark,194,164,358
2,Patito goleador legendario,184,169,353
3,Elcrack,206,144,350
4,PabloL,182,159,341
5,Iara!,178,156,334
6,Roberto der Alte,170,159,329
7,Caro,192,134,326
8,Grogu (baby Yoda),186,139,325
9,Tobi,192,129,321
10,Gol de Catamarancio,192,129,321
11,Julo,176,144,320
12,El chileno,174,136,310
13,Das riesengroße Dings-Bums,182,126,308
14,Deppel,182,124,306
15,Beebee,170,134,304
16,Mastodonte,180,119,299
17,Juan,164,134,298
18,Cage,174,119,293
19,Rene Lavan,158,134,292
20,Roberto der Breite,150,137,287
21,Federico-A,146,139,285
22,Cute ARG,148,136,284
23,Bernd das Brot,188,95,283
24,Lastima Catamarancio,128,149,277
25,Tomi,168,109,277
26,Rosi,146,129,275
27,Micaela,150,124,274
28,Iaia,172,99,271
29,Flo,160,107,267
30,Connie,148,114,262
31,Federico-E,162,99,261
32,Papadopoulus,172,89,261
33,Talocotío,140,119,259
34,Sean el Koala,130,126,256
35,Matata Hakuna,122,134,256
36,Clau,172,81,253
37,Juaju,152,96,248
38,Hakuna Matata,120,124,244
39,Ire,140,102,242
40,Sofita8,162,79,241
41,Maestro Yoda,146,86,232
42,Angelika,136,94,230
43,Manfred,162,66,228
44,Iliana,148,74,222
45,Chepa,140,72,212
46,Carapotato,102,91,193
47,Bittlein75,108,84,192
48,Bittlein23,100,89,189
49,Macaco,112,66,178
50,Loyal Sushi,128,48,176
51,Chepa 2.0,118,51,169
