Position,Alias,Stage 1,Stage 2,Total
1,Tomi,34,0,34
2,Clau,34,0,34
3,Tobi,32,0,32
4,Deppel,32,0,32
5,Iliana,28,0,28
6,Gol de Catamarancio,26,0,26
7,Roberto der Alte,24,0,24
8,Papadopoulus,24,0,24
9,Lastima Catamarancio,24,0,24
10,Juan,24,0,24
11,Elcrack,24,0,24
12,Iara!,24,0,24
13,Beebee,24,0,24
14,Aardvark,22,0,22
15,El chileno,22,0,22
16,Chepa,22,0,22
17,Julo,22,0,22
18,Sofita8,22,0,22
19,Manfred,22,0,22
20,PabloL,22,0,22
21,Ire,20,0,20
22,Chepa 2.0,20,0,20
23,Cute ARG,20,0,20
24,Patito goleador legendario,18,0,18
25,Bittlein23,18,0,18
26,Micaela,16,0,16
27,Cage,16,0,16
28,Mastodonte,16,0,16
29,Talocotío,16,0,16
30,Federico-E,16,0,16
31,Federico-A,16,0,16
32,Das riesengroße Dings-Bums,16,0,16
33,Rene Lavan,14,0,14
34,Matata Hakuna,14,0,14
35,Rosi,14,0,14
36,Connie,14,0,14
37,Maestro Yoda,14,0,14
38,Loyal Sushi,14,0,14
39,Angelika,14,0,14
40,Hakuna Matata,14,0,14
41,Bittlein75,14,0,14
42,Roberto der Breite,12,0,12
43,Grogu (baby Yoda),12,0,12
44,Carapotato,8,0,8
45,Iaia,8,0,8
46,Sean el Koala,8,0,8
47,Juaju,6,0,6
48,Bernd das Brot,6,0,6
49,Caro,6,0,6
50,Flo,6,0,6
51,Macaco,0,0,0
