Position,Alias,Stage 1,Stage 2,Total
1,PabloL,90,0,90
2,Chepa,88,0,88
3,Julo,86,0,86
4,Gol de Catamarancio,84,0,84
5,Iara!,82,0,82
6,Clau,82,0,82
7,Deppel,82,0,82
8,Tobi,80,0,80
9,Sofita8,80,0,80
10,Papadopoulus,80,0,80
11,Maestro Yoda,78,0,78
12,Aardvark,78,0,78
13,Iaia,76,0,76
14,Das riesengroße Dings-Bums,76,0,76
15,Federico-A,76,0,76
16,Roberto der Alte,76,0,76
17,Iliana,74,0,74
18,Tomi,72,0,72
19,Federico-E,72,0,72
20,Juan,72,0,72
21,Bernd das Brot,70,0,70
22,Elcrack,70,0,70
23,Manfred,70,0,70
24,Flo,68,0,68
25,Mastodonte,66,0,66
26,Grogu (baby Yoda),66,0,66
27,Beebee,66,0,66
28,Cute ARG,66,0,66
29,Cage,64,0,64
30,Lastima Catamarancio,64,0,64
31,El chileno,64,0,64
32,Connie,62,0,62
33,Rosi,62,0,62
34,Patito goleador legendario,62,0,62
35,Sean el Koala,62,0,62
36,Caro,60,0,60
37,Micaela,60,0,60
38,Matata Hakuna,58,0,58
39,Rene Lavan,58,0,58
40,Angelika,56,0,56
41,Ire,56,0,56
42,Juaju,56,0,56
43,Chepa 2.0,56,0,56
44,Roberto der Breite,56,0,56
45,Bittlein75,54,0,54
46,Loyal Sushi,54,0,54
47,Talocotío,52,0,52
48,Bittlein23,52,0,52
49,Hakuna Matata,46,0,46
50,Carapotato,26,0,26
51,Macaco,16,0,16
