Position,Alias,Stage 1,Stage 2,Total
1,Tobi,130,0,130
2,Gol de Catamarancio,126,0,126
3,Das riesengroße Dings-Bums,122,0,122
4,Deppel,122,0,122
5,PabloL,116,0,116
6,Caro,116,0,116
7,Elcrack,116,0,116
8,Grogu (baby Yoda),114,0,114
9,Iara!,112,0,112
10,Bernd das Brot,112,0,112
11,Sofita8,112,0,112
12,Julo,112,0,112
13,El chileno,110,0,110
14,Papadopoulus,108,0,108
15,Aardvark,108,0,108
16,Tomi,108,0,108
17,Federico-E,106,0,106
18,Mastodonte,104,0,104
19,Clau,102,0,102
20,Roberto der Alte,102,0,102
21,Rosi,102,0,102
22,Iaia,102,0,102
23,Flo,100,0,100
24,Maestro Yoda,98,0,98
25,Patito goleador legendario,98,0,98
26,Iliana,96,0,96
27,Cage,96,0,96
28,Manfred,94,0,94
29,Federico-A,92,0,92
30,Rene Lavan,92,0,92
31,Chepa,88,0,88
32,Micaela,88,0,88
33,Ire,88,0,88
34,Sean el Koala,86,0,86
35,Juan,86,0,86
36,Connie,86,0,86
37,Angelika,84,0,84
38,Talocotío,82,0,82
39,Roberto der Breite,82,0,82
40,Beebee,82,0,82
41,Cute ARG,82,0,82
42,Juaju,82,0,82
43,Bittlein75,80,0,80
44,Hakuna Matata,78,0,78
45,Bittlein23,74,0,74
46,Chepa 2.0,74,0,74
47,Lastima Catamarancio,70,0,70
48,Matata Hakuna,66,0,66
49,Loyal Sushi,60,0,60
50,Carapotato,50,0,50
51,Macaco,50,0,50
