Position,Alias,Stage 1,Stage 2,Total
1,Iara!,44,0,44
2,Clau,42,0,42
3,Cute ARG,40,0,40
4,Tomi,40,0,40
5,Julo,38,0,38
6,Tobi,38,0,38
7,Matata Hakuna,36,0,36
8,Lastima Catamarancio,36,0,36
9,Loyal Sushi,36,0,36
10,Iliana,36,0,36
11,Das riesengroße Dings-Bums,36,0,36
12,Chepa,36,0,36
13,Roberto der Alte,36,0,36
14,PabloL,34,0,34
15,Sofita8,34,0,34
16,Gol de Catamarancio,34,0,34
17,Papadopoulus,32,0,32
18,Juan,32,0,32
19,Deppel,32,0,32
20,Elcrack,32,0,32
21,Beebee,32,0,32
22,El chileno,30,0,30
23,Federico-E,30,0,30
24,Ire,28,0,28
25,Bittlein75,28,0,28
26,Aardvark,28,0,28
27,Chepa 2.0,28,0,28
28,Angelika,26,0,26
29,Maestro Yoda,26,0,26
30,Rosi,26,0,26
31,Patito goleador legendario,26,0,26
32,Bittlein23,26,0,26
33,Grogu (baby Yoda),26,0,26
34,Federico-A,24,0,24
35,Mastodonte,24,0,24
36,Hakuna Matata,24,0,24
37,Micaela,24,0,24
38,Manfred,22,0,22
39,Flo,22,0,22
40,Rene Lavan,22,0,22
41,Talocotío,22,0,22
42,Cage,22,0,22
43,Connie,20,0,20
44,Iaia,20,0,20
45,Roberto der Breite,20,0,20
46,Juaju,20,0,20
47,Sean el Koala,16,0,16
48,Bernd das Brot,14,0,14
49,Caro,14,0,14
50,Carapotato,8,0,8
51,Macaco,0,0,0
