Position,Alias,Stage 1,Stage 2,Total
1,Patito goleador legendario,184,119,303
2,Tobi,192,109,301
3,Elcrack,206,94,300
4,Aardvark,194,104,298
5,Das riesengroße Dings-Bums,182,106,288
6,Grogu (baby Yoda),186,99,285
7,Cage,174,109,283
8,PabloL,182,99,281
9,Gol de Catamarancio,192,89,281
10,Mastodonte,180,99,279
11,Caro,192,84,276
12,Iara!,178,96,274
13,El chileno,174,96,270
14,Julo,176,94,270
15,Roberto der Alte,170,99,269
16,Deppel,182,84,266
17,Beebee,170,94,264
18,Bernd das Brot,188,75,263
19,Iaia,172,89,261
20,Federico-E,162,99,261
21,Juan,164,94,258
22,Clau,172,81,253
23,Rene Lavan,158,94,252
24,Papadopoulus,172,79,251
25,Tomi,168,79,247
26,Flo,160,87,247
27,Federico-A,146,99,245
28,Cute ARG,148,96,244
29,Roberto der Breite,150,87,237
30,Micaela,150,84,234
31,Ire,140,92,232
32,Maestro Yoda,146,86,232
33,Sofita8,162,69,231
34,Juaju,152,76,228
35,Manfred,162,66,228
36,Rosi,146,79,225
37,Connie,148,74,222
38,Iliana,148,74,222
39,Angelika,136,84,220
40,Talocotío,140,79,219
41,Lastima Catamarancio,128,89,217
42,Sean el Koala,130,86,216
43,Hakuna Matata,120,94,214
44,Matata Hakuna,122,84,206
45,Chepa,140,62,202
46,Bittlein23,100,79,179
47,Macaco,112,66,178
48,Loyal Sushi,128,48,176
49,Bittlein75,108,64,172
50,Chepa 2.0,118,51,169
51,Carapotato,102,51,153
