Position,Alias,Stage 1,Stage 2,Total
1,Iara!,82,0,82
2,Julo,78,0,78
3,Clau,74,0,74
4,Tobi,74,0,74
5,Gol de Catamarancio,74,0,74
6,Papadopoulus,72,0,72
7,PabloL,72,0,72
8,Aardvark,72,0,72
9,Roberto der Alte,70,0,70
10,Maestro Yoda,68,0,68
11,Iliana,68,0,68
12,Cute ARG,66,0,66
13,Tomi,64,0,64
14,Iaia,64,0,64
15,Sofita8,64,0,64
16,Bernd das Brot,64,0,64
17,Manfred,64,0,64
18,Lastima Catamarancio,64,0,64
19,Elcrack,64,0,64
20,Chepa,64,0,64
21,Federico-E,64,0,64
22,Juan,62,0,62
23,Flo,62,0,62
24,Grogu (baby Yoda),60,0,60
25,Micaela,60,0,60
26,Deppel,58,0,58
27,Cage,58,0,58
28,Beebee,58,0,58
29,Rene Lavan,58,0,58
30,Federico-A,58,0,58
31,El chileno,58,0,58
32,Matata Hakuna,58,0,58
33,Patito goleador legendario,56,0,56
34,Mastodonte,56,0,56
35,Ire,56,0,56
36,Juaju,56,0,56
37,Connie,54,0,54
38,Das riesengroße Dings-Bums,54,0,54
39,Caro,54,0,54
40,Bittlein75,54,0,54
41,Loyal Sushi,54,0,54
42,Rosi,52,0,52
43,Talocotío,52,0,52
44,Roberto der Breite,50,0,50
45,Sean el Koala,50,0,50
46,Angelika,50,0,50
47,Chepa 2.0,48,0,48
48,Hakuna Matata,46,0,46
49,Bittlein23,44,0,44
50,Carapotato,26,0,26
51,Macaco,0,0,0
